,chromosome,start,end,GC,AT,N
0,chr1,900001,1000000,0.62134,0.37866,0
1,chr1,1000001,1100000,0.60348,0.39652,0
2,chr1,1100001,1200000,0.61372,0.38628,0
3,chr1,1200001,1300000,0.63522,0.36478,0
4,chr1,1300001,1400000,0.56191,0.43809,0
5,chr1,1400001,1500000,0.57733,0.42267,0
6,chr1,1500001,1600000,0.56394,0.43606,0
7,chr1,1600001,1700000,0.54508,0.45492,0
8,chr1,1700001,1800000,0.4719,0.5281,0
9,chr1,1800001,1900000,0.55347,0.44653,0
10,chr1,1900001,2000000,0.5631,0.4369,0
11,chr1,2100001,2200000,0.58005,0.41995,0
12,chr1,2200001,2300000,0.59617,0.40383,0
13,chr1,2300001,2400000,0.59949,0.40051,0
14,chr1,2400001,2500000,0.63479,0.36521,0
15,chr1,2700001,2800000,0.57215,0.42785,0
16,chr1,2800001,2900000,0.57392,0.42608,0
17,chr1,2900001,3000000,0.54605,0.45395,0
18,chr1,3000001,3100000,0.5828,0.4172,0
19,chr1,3100001,3200000,0.56805,0.43195,0
20,chr1,3200001,3300000,0.56969,0.43031,0
21,chr1,3300001,3400000,0.58308,0.41692,0
22,chr1,3400001,3500000,0.61924,0.38076,0
23,chr1,3500001,3600000,0.57064,0.42936,0
24,chr1,3600001,3700000,0.58669,0.41331,0
25,chr1,3700001,3800000,0.50102,0.49898,0
26,chr1,3800001,3900000,0.2379,0.21478,0
27,chr1,3900001,4000000,0.02223,0.02509,0
28,chr1,4000001,4100000,0.49664,0.50336,0
29,chr1,4100001,4200000,0.505,0.495,0
30,chr1,4200001,4300000,0.47157,0.52843,0
31,chr1,4400001,4500000,0.47686,0.52314,0
32,chr1,4500001,4600000,0.47844,0.52156,0
33,chr1,4600001,4700000,0.47966,0.52034,0
34,chr1,4700001,4800000,0.52822,0.47178,0
35,chr1,4800001,4900000,0.47591,0.52409,0
36,chr1,4900001,5000000,0.44691,0.55309,0
37,chr1,5000001,5100000,0.44523,0.55477,0
38,chr1,5100001,5200000,0.41039,0.58961,0
39,chr1,5200001,5300000,0.43109,0.56891,0
40,chr1,5300001,5400000,0.46996,0.53004,0
41,chr1,5400001,5500000,0.48056,0.51944,0
42,chr1,5500001,5600000,0.49138,0.50862,0
43,chr1,5600001,5700000,0.43856,0.56144,0
44,chr1,5800001,5900000,0.51265,0.48735,0
45,chr1,5900001,6000000,0.51752,0.48248,0
46,chr1,6000001,6100000,0.52325,0.47675,0
47,chr1,6100001,6200000,0.55803,0.44197,0
48,chr1,6200001,6300000,0.5445,0.4555,0
49,chr1,6300001,6400000,0.56474,0.43526,0
50,chr1,6400001,6500000,0.53484,0.46516,0
51,chr1,6500001,6600000,0.57133,0.42867,0
52,chr1,6600001,6700000,0.53375,0.46625,0
53,chr1,6700001,6800000,0.46573,0.53427,0
54,chr1,6800001,6900000,0.43502,0.56498,0
55,chr1,6900001,7000000,0.44401,0.55599,0
56,chr1,7000001,7100000,0.47982,0.52018,0
57,chr1,7100001,7200000,0.4846,0.5154,0
58,chr1,7200001,7300000,0.4537,0.5463,0
59,chr1,7300001,7400000,0.43758,0.56242,0
60,chr1,7400001,7500000,0.49766,0.50234,0
61,chr1,7500001,7600000,0.5396,0.4604,0
62,chr1,7600001,7700000,0.52349,0.47651,0
63,chr1,7700001,7800000,0.52116,0.47884,0
64,chr1,7800001,7900000,0.4105,0.5895,0
65,chr1,7900001,8000000,0.4465,0.5535,0
66,chr1,8000001,8100000,0.44882,0.55118,0
67,chr1,8100001,8200000,0.43694,0.56306,0
68,chr1,8200001,8300000,0.47711,0.52289,0
